group,path,status
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\otonaroid.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\erica.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\kaspar.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\bina48.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\nadine.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\geminoid H1-4.jpg,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\sophia.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\jiajia.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\han.png,ok
uncanny,C:\Users\maryc\Downloads\881project\uncannyrobot\kodomoroid.jpg,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\albert einstein hubo.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\alter.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\romeo.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kengoro.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\milo.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\kojiro.png,ok
stylized,C:\Users\maryc\Downloads\881project\stylishedrobot\topio.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_178.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_10.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_162.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_187.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_150.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_173.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_135.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_71.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_109.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_137.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_235.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_193.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_62.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_199.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_63.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_227.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_83.png,ok
human_conventional,C:\Users\maryc\Downloads\881project\conventionalfaces\human_44.png,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (1).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (2).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (11).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (7).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (4).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images.jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss9.PNG,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss8.PNG,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (8).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (3).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (3).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ts-rich-190.jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download (6).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (9).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (10).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (6).jpg,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss4.PNG,ok
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\download.jpg,ok
